cave_name;longitude;latitude;elevation;length;depth;area;volume;lithology;relevance_surveyed;relevance_factor;geomorph_unit;description;user;cave_maps;
FN_0019;-43.438180;-20.207366;966;15.3;5;50;92;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FN_0013;-43.438457;-20.207413;982;73;14;322;780;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FN_0014;-43.432839;-20.207526;907;9.4;3.4;23;29;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FN_0010;-43.438541;-20.207658;974;9.5;1.4;16;20;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FN_0011;-43.438531;-20.207694;973;10.6;1.4;16;12;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FN_0012;-43.438490;-20.207992;970;46.6;4.8;187;344;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FN_0023;-43.439529;-20.208426;986;18;0.6;52;41;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FN_0022;-43.439481;-20.208434;985;7.3;0.4;18;9;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0056;-43.508451;-20.216405;1053;6.97;0.88;15.71;13.35;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FN_0024;-43.442155;-20.216616;911;17.45;3.5;67.22;86.71;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FN_0025;-43.443225;-20.216824;879;24;1.5;46;52;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FN_0026;-43.441491;-20.217938;880;5.6;0.4;20;26;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0065;-43.509709;-20.219984;1140;8.85;5.22;25.15;20.37;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0064;-43.509316;-20.220008;1119;9.52;5.22;52.99;69.41;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FN_0005;-43.434142;-20.221685;890;65;10.4;180;340;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FN_0004;-43.434065;-20.221765;890;10.5;1.2;15;14;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0061;-43.511431;-20.222095;1216;7.97;1.75;16.58;23.21;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0062;-43.510521;-20.222114;1158;6.54;1.8;17.59;15.47;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FN_0027;-43.437500;-20.223765;883;47;2.6;182;250;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0058;-43.511101;-20.224495;1125;7.57;1.03;13.94;10.17;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0059;-43.510907;-20.224765;1187;13.67;2.23;36.6;25.98;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0060;-43.510454;-20.225122;1180;5.91;0.91;12.72;12.59;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0078;-43.501999;-20.225565;941;8.18;2.07;44.17;45.42;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FZ_0075;-43.497922;-20.226497;908;12.02;4.82;26.48;18.27;Itabirite;No;Maximum;9;Unavaible;hpesciotti;null
CH_0024;-43.517930;-20.227037;1452;20;3.6;61;50;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
CH_0025;-43.517930;-20.227073;1457;6.4;2.5;21;11;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
CH_0026;-43.512560;-20.227145;1312;8.8;5;15;21;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
CH_0027;-43.512339;-20.227225;1286;5.3;4;16;32;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FN_0002;-43.431176;-20.227358;868;6;3;9;5;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
FN_0001;-43.430340;-20.227667;797;10.4;7.6;22;14;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
CH_0020;-43.517666;-20.228652;1431;20;2.4;53;61;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
CH_0033;-43.506984;-20.229691;1053;10;1.4;31;32;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
BR_0074;-43.506935;-20.229799;1052;10.32;1.65;31.05;23.9;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
CH_0032;-43.512454;-20.231264;1234;11;2.2;38;52;Banded Iron Formation - BIF;No;Maximum;9;Unavaible;hpesciotti;null
